Date,BEP,EIX,NEE,PCG,SRE,TSLA
2018-09-25,30.290000915527344,66.97000122070312,166.85000610351562,45.84000015258789,112.47000122070312,300.989990234375
2018-09-26,30.110000610351562,66.80999755859375,164.4499969482422,45.15999984741211,111.05999755859375,309.5799865722656
2018-09-27,30.190000534057617,66.66000366210938,165.58999633789062,45.27000045776367,112.0,307.5199890136719
2018-09-28,30.239999771118164,67.68000030517578,167.60000610351562,46.0099983215332,113.75,264.7699890136719
2018-10-01,30.639999389648438,67.55000305175781,166.99000549316406,45.869998931884766,113.83000183105469,310.70001220703125
2018-10-02,30.690000534057617,68.72000122070312,169.33999633789062,47.41999816894531,115.73999786376953,301.0199890136719
2018-10-03,30.43000030517578,68.44000244140625,168.24000549316406,47.20000076293945,114.62000274658203,294.79998779296875
2018-10-04,29.8799991607666,68.69000244140625,169.25,46.9900016784668,114.88999938964844,281.8299865722656
2018-10-05,29.90999984741211,69.30000305175781,172.3699951171875,47.95000076293945,116.19999694824219,261.95001220703125
2018-10-08,30.030000686645508,69.93000030517578,173.32000732421875,47.91999816894531,116.55000305175781,250.55999755859375
2018-10-09,29.780000686645508,70.44999694824219,173.72999572753906,48.54999923706055,116.4000015258789,262.79998779296875
2018-10-10,29.31999969482422,70.08000183105469,172.75,47.650001525878906,115.45999908447266,256.8800048828125
2018-10-11,29.010000228881836,68.41000366210938,169.08999633789062,46.619998931884766,114.47000122070312,252.22999572753906
2018-10-12,29.280000686645508,68.6500015258789,169.36000061035156,47.27000045776367,115.02999877929688,258.7799987792969
2018-10-15,29.309999465942383,68.87999725341797,169.63999938964844,47.84000015258789,115.0999984741211,259.5899963378906
2018-10-16,29.5,69.52999877929688,171.2899932861328,48.790000915527344,115.76000213623047,276.5899963378906
2018-10-17,29.329999923706055,69.58000183105469,170.82000732421875,48.959999084472656,115.30000305175781,271.7799987792969
2018-10-18,29.040000915527344,69.54000091552734,171.57000732421875,48.2400016784668,115.91000366210938,263.9100036621094
2018-10-19,29.040000915527344,70.30999755859375,173.4600067138672,48.849998474121094,116.61000061035156,260.0
2018-10-22,29.209999084472656,69.86000061035156,172.66000366210938,47.779998779296875,115.62000274658203,260.95001220703125
2018-10-23,28.979999542236328,69.55000305175781,170.6300048828125,47.290000915527344,114.19000244140625,294.1400146484375
2018-10-24,28.950000762939453,70.54000091552734,175.60000610351562,47.2400016784668,115.9000015258789,288.5
2018-10-25,28.739999771118164,69.45999908447266,173.1999969482422,47.369998931884766,115.04000091552734,314.8599853515625
2018-10-26,28.540000915527344,68.16999816894531,169.88999938964844,46.290000915527344,112.80999755859375,330.8999938964844
2018-10-29,28.149999618530273,69.11000061035156,172.77999877929688,46.779998779296875,112.54000091552734,334.8500061035156
2018-10-30,27.969999313354492,69.52999877929688,173.5500030517578,46.93000030517578,111.80000305175781,329.8999938964844
2018-10-31,27.25,69.38999938964844,172.5,46.810001373291016,110.12000274658203,337.32000732421875
2018-11-01,27.420000076293945,68.19000244140625,170.47000122070312,47.18000030517578,110.05000305175781,344.2799987792969
2018-11-02,27.549999237060547,67.87999725341797,168.14999389648438,47.439998626708984,109.05000305175781,346.4100036621094
2018-11-05,28.049999237060547,68.76000213623047,170.7100067138672,48.709999084472656,112.56999969482422,341.3999938964844
2018-11-06,28.360000610351562,68.94000244140625,171.4600067138672,48.58000183105469,113.19999694824219,341.05999755859375
2018-11-07,28.6299991607666,69.69999694824219,173.5399932861328,48.79999923706055,117.55999755859375,348.1600036621094
2018-11-08,28.43000030517578,69.41000366210938,173.9600067138672,47.79999923706055,117.97000122070312,351.3999938964844
2018-11-09,28.469999313354492,61.0,176.55999755859375,39.91999816894531,116.69999694824219,350.510009765625
2018-11-12,28.6299991607666,53.560001373291016,178.49000549316406,32.97999954223633,115.4000015258789,331.2799987792969
2018-11-13,28.219999313354492,55.540000915527344,178.66000366210938,32.720001220703125,116.01000213623047,338.7300109863281
2018-11-14,27.850000381469727,53.869998931884766,176.82000732421875,25.59000015258789,112.76000213623047,344.0
2018-11-15,27.579999923706055,47.189998626708984,179.17999267578125,17.739999771118164,110.9800033569336,348.44000244140625
2018-11-16,27.700000762939453,54.45000076293945,180.38999938964844,24.399999618530273,114.87000274658203,354.30999755859375
2018-11-19,27.889999389648438,53.90999984741211,182.00999450683594,23.260000228881836,115.23999786376953,353.4700012207031
2018-11-20,27.469999313354492,52.779998779296875,178.77000427246094,23.510000228881836,113.93000030517578,347.489990234375
2018-11-21,28.079999923706055,53.59000015258789,176.17999267578125,24.299999237060547,112.01000213623047,338.19000244140625
2018-11-23,28.43000030517578,53.25,177.3300018310547,23.84000015258789,112.11000061035156,325.8299865722656
2018-11-26,28.530000686645508,53.9900016784668,177.02999877929688,25.1200008392334,112.04000091552734,346.0
2018-11-27,28.540000915527344,55.310001373291016,178.0,26.969999313354492,112.69000244140625,343.9200134277344
2018-11-28,28.899999618530273,54.7599983215332,178.0500030517578,27.459999084472656,113.23999786376953,347.8699951171875
2018-11-29,28.549999237060547,54.720001220703125,177.1199951171875,26.760000228881836,112.66999816894531,341.1700134277344
2018-11-30,28.6200008392334,55.31999969482422,181.7100067138672,26.3799991607666,115.22000122070312,350.4800109863281
2018-12-03,28.6299991607666,57.0,182.49000549316406,27.110000610351562,116.44999694824219,358.489990234375
2018-12-04,28.59000015258789,57.72999954223633,182.1699981689453,26.75,116.86000061035156,359.70001220703125
2018-12-06,27.920000076293945,57.540000915527344,182.66000366210938,26.030000686645508,115.69999694824219,363.05999755859375
2018-12-07,27.6200008392334,58.5099983215332,182.86000061035156,25.790000915527344,115.94999694824219,357.9700012207031
2018-12-10,27.170000076293945,58.84000015258789,182.61000061035156,25.889999389648438,116.19000244140625,365.1499938964844
2018-12-11,27.059999465942383,58.88999938964844,182.97999572753906,26.059999465942383,117.05999755859375,366.760009765625
2018-12-12,27.0,59.540000915527344,181.30999755859375,26.389999389648438,116.66000366210938,366.6000061035156
2018-12-13,27.030000686645508,59.529998779296875,182.1999969482422,26.510000228881836,117.5999984741211,376.7900085449219
2018-12-14,27.229999542236328,59.63999938964844,181.24000549316406,26.010000228881836,118.48999786376953,365.7099914550781
2018-12-17,26.3700008392334,58.189998626708984,175.64999389648438,24.440000534057617,114.93000030517578,348.4200134277344
2018-12-18,26.06999969482422,57.4900016784668,176.0,23.020000457763672,113.83999633789062,337.0299987792969
2018-12-19,25.850000381469727,58.41999816894531,174.52000427246094,23.75,113.94000244140625,332.9700012207031
2018-12-20,25.610000610351562,58.2599983215332,174.91000366210938,23.850000381469727,113.05999755859375,315.3800048828125
2018-12-21,25.170000076293945,56.18000030517578,174.11000061035156,22.75,111.81999969482422,319.7699890136719
2018-12-24,24.600000381469727,54.33000183105469,168.0800018310547,23.149999618530273,107.4000015258789,295.3900146484375
